Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Genre_Group
Body Double,8801940,8801940,NA,10000000,Oct 26 1984,NA,NA,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84,6.4,9738,Thriller/Suspense
"The Beast from 20,000 Fathoms",5000000,5000000,NA,210000,Jun 13 1953,NA,NA,Warner Bros.,Based on Book/Short Story,NA,NA,NA,90,NA,NA,Other
Beastmaster 2: Through the Portal of Time,773490,773490,NA,6000000,Aug 30 1991,NA,NA,New Line,Based on Book/Short Story,NA,Fantasy,NA,17,3.3,1327,Other
The Beastmaster,10751126,10751126,NA,5000000,Aug 20 1982,NA,NA,MGM,Based on Book/Short Story,Action,Fantasy,NA,50,5.7,5734,Action
Ben-Hur,9000000,9000000,NA,3900000,Dec 30 2025,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,NA,NA,8.2,58510,Adventure
Ben-Hur,73000000,73000000,NA,15000000,Nov 18 1959,NA,NA,MGM,Based on Book/Short Story,Adventure,NA,William Wyler,91,8.2,58510,Adventure
Benji,31559560,31559560,NA,500000,Nov 15 1974,NA,NA,NA,Original Screenplay,Adventure,NA,NA,83,5.8,1801,Adventure
Before Sunrise,5274005,5274005,NA,2500000,Jan 27 1995,R,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100,8,39705,Drama
Beauty and the Beast,171340294,403476931,NA,20000000,Nov 13 1991,G,NA,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93,3.4,354,Musical
The Best Years of Our Lives,23600000,23600000,NA,2100000,Nov 21 2046,NA,NA,RKO Radio Pictures,Based on Book/Short Story,Drama,NA,William Wyler,97,8.2,17338,Drama
The Ballad of Gregorio Cortez,909000,909000,NA,1305000,Aug 19 1983,NA,NA,Embassy,Based on Book/Short Story,Western,Historical Fiction,NA,NA,NA,NA,Other
My Big Fat Independent Movie,4655,4655,NA,3000000,Sep 30 2005,R,NA,Big Fat Movies,NA,Comedy,Contemporary Fiction,NA,23,3.2,1119,Comedy
Battle for the Planet of the Apes,8800000,8800000,NA,1800000,Dec 31 1972,NA,NA,20th Century Fox,NA,NA,Science Fiction,Jack Lee Thompson,38,5,6094,Other
Big Things,0,0,NA,50000,Dec 31 2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
Bogus,4357406,4357406,NA,32000000,Sep 06 1996,PG,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40,4.8,2742,Comedy
Beverly Hills Cop,234760478,316300000,NA,15000000,Dec 05 1984,NA,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83,7.3,45065,Action
Beverly Hills Cop II,153665036,276665036,NA,20000000,May 20 1987,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46,6.1,29712,Action
Beverly Hills Cop III,42586861,119180938,NA,50000000,May 25 1994,R,NA,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10,5,21199,Action
The Black Hole,35841901,35841901,NA,20000000,Dec 21 1979,NA,NA,Walt Disney Pictures,Original Screenplay,NA,Science Fiction,NA,42,5.6,7810,Other
Bathory,0,3436763,NA,15000000,Jul 10 2008,NA,NA,NA,NA,NA,NA,NA,NA,6.1,1446,Other
Big,114968774,151668774,NA,18000000,Jun 03 1988,NA,NA,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96,7.2,49256,Comedy
The Big Parade,11000000,22000000,NA,245000,Jan 01 2025,NA,NA,MGM,Based on Play,Drama,NA,King Vidor,100,8.4,2600,Drama
Boyz n the Hood,56190094,56190094,NA,6500000,Jul 12 1991,NA,NA,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98,7.8,30299,Drama
"The Book of Mormon Movie, Volume 1: The Journey",1660865,1660865,NA,2000000,Sep 12 2003,PG,NA,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,NA,NA,Drama
Return to the Blue Lagoon,2000000,2000000,NA,11000000,Dec 31 1990,NA,NA,NA,NA,NA,NA,NA,NA,4.3,4632,Other
"Bright Lights, Big City",16118077,16118077,NA,25000000,Apr 01 1988,R,NA,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,NA,61,6.8,11929,Drama
The Blue Bird,887000,887000,NA,1200000,Dec 31 1975,NA,NA,20th Century Fox,Based on Play,NA,Fantasy,George Cukor,NA,4.9,359,Other
The Blue Butterfly,1610194,1610194,NA,10400000,Feb 20 2004,PG,NA,Alliance,Original Screenplay,Drama,Contemporary Fiction,NA,44,6.2,817,Drama
Blade Runner,32656328,33139618,NA,28000000,Jun 25 1982,R,NA,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92,8.3,185546,Thriller/Suspense
Bloodsport,11806119,11806119,NA,1500000,Feb 26 1988,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,NA,NA,6.2,19816,Action
The Blues Brothers,57229890,57229890,NA,27000000,Jun 20 1980,NA,NA,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84,7.9,62941,Musical
Blow Out,13747234,13747234,NA,18000000,Jul 24 1981,NA,NA,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89,7.1,10239,Thriller/Suspense
De battre mon coeur s'est arrÍtÈ,1023424,8589831,NA,5500000,Jul 01 2005,Not Rated,NA,WellSpring,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7.3,7295,Drama
The Broadway Melody,2800000,4358000,NA,379000,Dec 31 1928,NA,NA,MGM,Original Screenplay,Musical,NA,NA,38,6.7,2017,Musical
Boom Town,9172000,9172000,NA,2000000,Dec 31 1939,NA,NA,MGM,Original Screenplay,NA,NA,NA,NA,7.1,1115,Other
Bound,3802260,6300000,NA,4500000,Oct 04 1996,R,NA,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88,7.4,23564,Thriller/Suspense
Bang,527,527,NA,10000,Apr 01 1996,NA,NA,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",NA,6.3,369,Thriller/Suspense
Bananas,NA,NA,NA,2000000,Apr 28 1971,PG-13,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,89,7.1,12415,Comedy
Bill & Ted's Bogus Journey,37537675,37537675,NA,20000000,Jul 19 1991,NA,NA,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58,5.8,20188,Comedy
The Birth of a Nation,10000000,11000000,NA,110000,Feb 08 2015,NA,NA,NA,Based on Book/Short Story,Drama,NA,NA,100,7.1,8901,Drama
The Ballad of Cable Hogue,3500000,5000000,NA,3716946,May 13 1970,NA,NA,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92,7.3,3125,Other
The Blood of Heroes,882290,882290,NA,7700000,Feb 23 1990,NA,NA,New Line,Original Screenplay,Action,NA,NA,NA,6.2,2523,Action
The Blood of My Brother: A Story of Death in Iraq,0,0,NA,120000,Jun 30 2006,NA,NA,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,NA,71,7.6,90,Other
Boomerang,70052444,131052444,NA,42000000,Jul 01 1992,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,37,5.9,202,Comedy
The Bridge on the River Kwai,33300000,33300000,NA,3000000,Dec 18 1957,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,NA,David Lean,95,8.4,58641,Drama
Born on the Fourth of July,70001698,70001698,NA,14000000,Dec 20 1989,NA,NA,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89,7.2,32108,Drama
Basquiat,2962051,2962051,NA,3000000,Aug 09 1996,R,NA,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69,6.7,7935,Drama
Black Rain,45892212,45892212,NA,30000000,Sep 22 1989,NA,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57,4.1,137,Thriller/Suspense
Bottle Rocket,407488,407488,NA,5000000,Feb 21 1996,R,NA,Sony Pictures,Based on Short Film,Adventure,NA,Wes Anderson,79,7.2,21980,Adventure
Braindead,242623,242623,NA,3000000,Feb 12 1993,NA,NA,Trimark,Original Screenplay,Horror,NA,Peter Jackson,NA,7.6,32827,Horror
The Bridges of Madison County,71516617,175516617,NA,22000000,Jun 02 1995,PG-13,NA,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90,7.2,21923,Drama
The Brothers McMullen,10426506,10426506,NA,25000,Aug 09 1995,R,NA,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91,6.4,4365,Drama
Dracula,82522790,215862692,NA,40000000,Nov 13 1992,R,NA,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,NA,6.4,136,Horror
Broken Arrow,70645997,148345997,NA,65000000,Feb 09 1996,R,108,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55,5.8,33584,Action
Brainstorm,8921050,8921050,NA,15000000,Sep 30 1983,NA,NA,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,NA,64,6.3,4410,Thriller/Suspense
Braveheart,75545647,209000000,NA,72000000,May 24 1995,R,NA,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77,8.4,240642,Drama
Les BronzÈs 3: amis pour la vie,0,83833602,NA,42000000,Feb 01 2006,NA,NA,NA,NA,Comedy,Contemporary Fiction,NA,NA,4.4,1254,Comedy
Brazil,9929135,9929135,NA,15000000,Dec 18 1985,R,136,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98,8,76635,Other
Blazing Saddles,119500000,119500000,NA,2600000,Jan 01 1974,NA,NA,Warner Bros.,Original Screenplay,Comedy,NA,Mel Brooks,89,7.8,45771,Comedy
The Basket,609042,609042,NA,1300000,May 05 2000,PG,NA,MGM,Original Screenplay,Drama,NA,NA,NA,6.3,343,Drama
Bathing Beauty,3500000,3500000,NA,2361000,Dec 31 1943,NA,NA,MGM,Original Screenplay,Musical,NA,NA,NA,6.2,487,Musical
Bill & Ted's Excellent Adventure,39916091,39916091,NA,10000000,Feb 17 1989,NA,NA,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81,6.7,30341,Comedy
A Bridge Too Far,50800000,50800000,NA,26000000,Jun 15 1977,NA,NA,MGM,Based on Book/Short Story,Action,NA,Sir Richard Attenborough,67,7.3,16882,Action
Beetle Juice,73326666,73326666,NA,15000000,Mar 30 1988,NA,NA,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,NA,7.3,61197,Comedy
Batman Returns,162831698,266822354,NA,80000000,Jun 18 1992,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78,6.9,78673,Action
Batman Forever,184031112,336529144,NA,100000000,Jun 16 1995,PG-13,NA,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43,5.4,76218,Action
Batman - The Movie,0,0,NA,1377800,Aug 21 2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other
Batman,251188924,411348924,NA,35000000,Jun 23 1989,PG-13,NA,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71,7.6,111464,Action
Buffy the Vampire Slayer,14231669,14231669,NA,7000000,Jul 31 1992,NA,NA,20th Century Fox,Original Screenplay,Horror,Fantasy,NA,32,5.3,16056,Horror
Bienvenue chez les Ch'tis,1470856,243470856,NA,16000000,Jul 25 2008,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7,7129,Comedy
Beyond the Valley of the Dolls,9000000,9000000,NA,1000000,Jan 01 1970,NA,NA,20th Century Fox,Original Screenplay,Comedy,NA,NA,68,5.7,4626,Comedy
Broken Vessels,15030,85343,NA,600000,Jul 02 1999,R,NA,NA,Original Screenplay,Drama,NA,NA,NA,6.4,399,Drama
The Boys from Brazil,19000000,19000000,NA,12000000,Dec 31 1977,NA,NA,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,NA,Franklin J. Schaffner,65,7,8741,Thriller/Suspense
The Business of Fancy Dancing,174682,174682,NA,200000,May 10 2002,Not Rated,NA,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,NA,NA,7,355,Drama
Caddyshack,39846344,39846344,NA,6000000,Jul 25 1980,NA,NA,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75,7.3,35436,Comedy
Cape Fear,79091969,182291969,NA,35000000,Nov 15 1991,R,NA,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76,7.3,47196,Thriller/Suspense
Clear and Present Danger,122012656,207500000,NA,62000000,Aug 03 1994,PG-13,NA,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78,6.8,29612,Action
Carrie,25878153,25878153,NA,1800000,Nov 16 1976,NA,NA,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767,Horror
Casino Royale,22744718,41744718,NA,12000000,Apr 28 1967,NA,NA,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30,8,172936,Comedy
Camping Sauvage,3479302,3479302,NA,4600000,Jul 16 2004,Not Rated,NA,Alliance,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,6,378,Comedy
The Cotton Club,25928721,25928721,NA,48000000,Dec 14 1984,NA,NA,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74,6.3,6940,Drama
Crop Circles: Quest for Truth,0,0,NA,600000,Aug 23 2002,NA,NA,NA,NA,NA,NA,NA,60,7.1,153,Other
Close Encounters of the Third Kind,166000000,337700000,NA,20000000,Nov 16 1977,NA,NA,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95,7.8,59049,Adventure
The Cable Guy,60240295,102825796,NA,47000000,Jun 14 1996,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52,5.8,51109,Comedy
